year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2010,1,9E,Pinnacle Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,91.00,29.00,7.82,1.00,12.07,0.00,8.11,6.00,0.00,1453.00,535.00,49.00,320.00,0.00,549.00
2010,1,AA,American Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,674.00,112.00,48.24,13.66,18.24,0.00,31.86,14.00,0.00,4976.00,2092.00,771.00,632.00,0.00,1481.00
2010,1,AS,Alaska Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,53.00,6.00,2.00,0.84,2.31,0.00,0.86,0.00,0.00,164.00,57.00,46.00,43.00,0.00,18.00
2010,1,B6,JetBlue Airways,AUS,Austin  TX: Austin - Bergstrom International,246.00,64.00,25.50,0.37,21.69,0.00,16.44,0.00,0.00,3829.00,1769.00,59.00,785.00,0.00,1216.00
2010,1,CO,Continental Air Lines Inc.,AUS,Austin  TX: Austin - Bergstrom International,311.00,47.00,13.42,1.44,16.57,2.02,13.55,0.00,0.00,1965.00,767.00,32.00,368.00,316.00,482.00
2010,1,DL,Delta Air Lines Inc.,AUS,Austin  TX: Austin - Bergstrom International,108.00,13.00,2.73,0.00,4.44,0.00,5.82,2.00,0.00,1141.00,193.00,0.00,128.00,0.00,820.00
2010,1,EV,Atlantic Southeast Airlines,AUS,Austin  TX: Austin - Bergstrom International,11.00,5.00,2.20,0.24,1.56,0.00,1.00,0.00,0.00,127.00,53.00,7.00,38.00,0.00,29.00
2010,1,F9,Frontier Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,93.00,12.00,3.03,0.00,2.99,0.00,5.98,0.00,1.00,367.00,70.00,0.00,60.00,0.00,237.00
2010,1,OO,SkyWest Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,42.00,5.00,1.81,0.06,2.10,0.00,1.03,1.00,0.00,203.00,36.00,3.00,80.00,0.00,84.00
2010,1,UA,United Air Lines Inc.,AUS,Austin  TX: Austin - Bergstrom International,31.00,11.00,3.14,0.38,0.29,0.00,7.19,0.00,0.00,647.00,160.00,30.00,22.00,0.00,435.00
2010,1,US,US Airways Inc.,AUS,Austin  TX: Austin - Bergstrom International,1.00,,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,1,WN,Southwest Airlines Co.,AUS,Austin  TX: Austin - Bergstrom International,1367.00,255.00,101.68,2.19,24.98,0.94,125.22,12.00,1.00,11565.00,4221.00,86.00,781.00,19.00,6458.00
2010,1,XE,ExpressJet Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,66.00,6.00,1.15,1.00,1.31,0.00,2.54,1.00,0.00,277.00,44.00,24.00,31.00,0.00,178.00
2010,1,YV,Mesa Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,310.00,65.00,39.00,10.00,16.00,0.00,0.00,2.00,0.00,3573.00,2345.00,731.00,497.00,0.00,0.00
2010,2,9E,Pinnacle Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,102.00,30.00,10.05,0.92,14.37,0.00,4.66,7.00,1.00,1656.00,504.00,43.00,456.00,0.00,653.00
2010,2,AA,American Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,605.00,122.00,46.57,10.43,23.51,0.00,41.49,24.00,0.00,6340.00,1914.00,989.00,1142.00,0.00,2295.00
2010,2,AS,Alaska Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,48.00,4.00,1.29,0.00,1.71,0.00,1.00,0.00,0.00,189.00,57.00,0.00,51.00,0.00,81.00
2010,2,B6,JetBlue Airways,AUS,Austin  TX: Austin - Bergstrom International,221.00,58.00,17.00,2.39,23.01,1.00,14.61,13.00,0.00,3943.00,1462.00,346.00,1225.00,27.00,883.00
2010,2,CO,Continental Air Lines Inc.,AUS,Austin  TX: Austin - Bergstrom International,275.00,52.00,22.31,3.17,17.55,1.68,7.30,11.00,2.00,2049.00,758.00,122.00,626.00,35.00,508.00
2010,2,DL,Delta Air Lines Inc.,AUS,Austin  TX: Austin - Bergstrom International,98.00,16.00,6.78,1.00,6.40,0.00,1.83,5.00,0.00,604.00,282.00,25.00,134.00,0.00,163.00
2010,2,EV,Atlantic Southeast Airlines,AUS,Austin  TX: Austin - Bergstrom International,9.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,2,F9,Frontier Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,84.00,19.00,3.25,0.00,10.31,0.00,5.44,1.00,0.00,768.00,161.00,0.00,254.00,0.00,353.00
2010,2,OO,SkyWest Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,53.00,4.00,2.00,0.00,1.90,0.00,0.10,0.00,0.00,160.00,49.00,0.00,106.00,0.00,5.00
2010,2,UA,United Air Lines Inc.,AUS,Austin  TX: Austin - Bergstrom International,28.00,9.00,1.39,0.00,1.00,0.00,6.61,0.00,0.00,488.00,48.00,0.00,17.00,0.00,423.00
2010,2,WN,Southwest Airlines Co.,AUS,Austin  TX: Austin - Bergstrom International,1242.00,193.00,69.26,3.53,31.52,0.84,87.85,34.00,1.00,9237.00,2577.00,456.00,1449.00,28.00,4727.00
2010,2,XE,ExpressJet Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,75.00,12.00,6.47,0.00,1.00,0.00,4.53,0.00,0.00,512.00,329.00,0.00,20.00,0.00,163.00
2010,2,YV,Mesa Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,296.00,63.00,23.00,1.00,20.59,0.00,18.41,5.00,1.00,3557.00,1255.00,152.00,748.00,0.00,1402.00
2010,3,9E,Pinnacle Airlines Inc.,AUS,Austin  TX: Austin - Bergstrom International,124.00,25.00,13.05,1.90,7.10,0.00,2.95,3.00,0.00,1794.00,1035.00,234.00,330.00,0.00,195.00
