STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT16,WT17,WT18,WT19,WT21,WT22
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/1/2010,7.16,50,59,0,0,0,,55,26,340,350,,23,30,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/2/2010,2.46,1544,1523,0,0,0,,56,24,140,150,,12.1,16.1,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/3/2010,5.82,2332,2329,0,0,0,,49,31,350,340,,17,21,,,,,,,,,,,,1,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/4/2010,11.18,705,1317,0,0,0,,47,27,350,20,,21.9,25.1,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/5/2010,2.46,1714,1525,0,0,0,,49,21,140,140,,8.1,12.1,1,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/6/2010,5.82,1256,1255,0.02,0,0,,52,27,190,190,,15,17.9,1,,,,,,1,1,,,1,1,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/7/2010,17.45,1243,1248,0,0,0,,53,28,360,350,,31.1,38,1,1,,,,,,1,,,,1,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/8/2010,11.63,23,21,0,0,0,,35,13,360,10,,23.9,33.1,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/9/2010,1.57,2007,2001,0,0,0,,42,10,70,60,,6.9,10.1,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/10/2010,1.57,1609,1541,0,0,0,,48,13,150,170,,8.9,14.1,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/11/2010,1.57,1625,1603,0,0,0,,57,16,200,190,,12.1,15,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/12/2010,2.91,1310,1310,0,0,0,,66,28,10,360,,13,16.1,,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/13/2010,4.47,1230,1222,0.02,0,0,,58,32,190,190,,16.1,21,1,,,,1,,1,1,,,1,,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/14/2010,4.92,2044,2043,0.67,0,0,,60,50,100,100,,14.1,17.9,1,,,,1,,,,,,1,1,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/15/2010,15.66,1607,2326,1.32,0,0,,56,45,10,10,,25.9,36,1,,,,1,,,,,,1,,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/16/2010,12.3,1314,1317,0.1,0,0,,62,41,340,330,,23,30,1,,,,1,,,,,,1,,1,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/17/2010,3.13,1600,1614,0,0,0,,63,33,180,190,,14.1,17,1,,,,,,,,,,1,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/18/2010,7.83,1610,1113,0,0,0,,71,35,200,200,,17,23,1,,,,,,,,,,1,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/19/2010,9.17,1529,1459,0,0,0,,73,55,180,200,,15,19.9,1,,,,,,,,,,1,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/20/2010,6.49,1409,1408,0,0,0,,74,57,180,180,,19.9,23.9,1,,,,,,1,1,,,1,1,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/21/2010,2.91,1213,1213,0,0,0,,77,38,310,320,,14.1,17.9,1,,,,,,,,,,1,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/22/2010,9.4,1621,1620,0,0,0,,76,36,170,180,,25.9,32,1,,,,,,1,1,,,1,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/23/2010,8.95,1535,1546,0,0,0,,72,50,300,310,,30,40.9,1,,,,,,,,,,,,,,,,,
USW00013904,"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US",1/24/2010,10.29,1357,1309,0,0,0,,66,35,310,280,,23,33.1,,,,,,,,,,,,,,,,,,
