"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT18","WT22"
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-01","3.80"," 0142"," 0142","0.00","0.0","0.0",,"51","27","  340","  340","0.0","14.1","17.0",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-02","5.82"," 1717"," 1701","0.00","0.0","0.0",,"53","30","  160","  150","0.0","14.1","17.0",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-03","8.28"," 2028"," 1936","0.00","0.0","0.0",,"46","32","  360","  340","0.0","17.9","23.0",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-04","8.95"," 0927"," 1159","0.00","0.0","0.0",,"37","27","  350","   30","0.0","17.9","28.0",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-05","4.47"," 2252"," 2043","0.00","0.0","0.0",,"41","23","  130","  110","0.0","8.9","13.0",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-06","10.29"," 1711"," 0825","0.00","0.0","0.0",,"49","31","  160","  140","0.0","16.1","21.0","    1",,,,,,,,,,,"    1",,,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-07","19.01"," 0701"," 0700","0.05","0.0","0.0",,"46","23","  340","  350","0.0","29.1","38.9","    1",,,,"    1","    1",,,,,,,"    1","    1","    1","    1",
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-08","11.86"," 0855"," 0854","0.00","0.0","0.0",,"30","17","  320","  320","0.0","21.0","25.9",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-09","3.13"," 1600"," 1540","0.00","0.0","0.0",,"38","14","   40","   50","0.0","10.1","15.0",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-10","4.70"," 1706"," 2015","0.00","0.0","0.0",,"44","18","  170","  180","0.0","13.0","15.0",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-11","3.58"," 9999",,"0.00","0.0","0.0",,"56","27","  270","  270","0.0","14.1","18.1",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-12","2.68"," 2324"," 2321","0.00","0.0","0.0",,"58","28","  100","  100","0.0","8.9","13.0",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-13","11.86"," 2304"," 2304","0.00","0.0","0.0",,"62","37","  180","  190","0.0","19.9","28.0",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-14","9.62"," 0106"," 0106","0.04","0.0","0.0",,"55","50","  160","  160","0.0","19.9","23.0","    1",,,,"    1",,"    1","    1",,,,"    1",,,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-15","5.59"," 2216"," 1442","0.22","0.0","0.0",,"57","47","  350","   60","0.0","14.1","17.9","    1",,,,"    1",,,,,,,"    1","    1",,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-16","7.16"," 1635"," 1603","0.06","0.0","0.0",,"59","46","  350","  350","0.0","17.9","23.9","    1",,,,"    1",,,,,,,"    1",,,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-17","5.59"," 2242"," 2241","0.00","0.0","0.0",,"64","43","  150","  170","0.0","13.0","16.1","    1","    1",,,,,,"    1","    1",,,"    1",,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-18","10.96"," 1540"," 1543","0.00","0.0","0.0",,"68","46","  180","  190","0.0","21.0","25.1",,,,,,,"    1","    1",,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-19","9.62"," 1706"," 1617","0.00","0.0","0.0",,"71","56","  170","  170","0.0","19.9","23.9",,,,,,,,,,,,,,,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-20","7.61"," 2149"," 2149","0.00","0.0","0.0",,"70","58","  220","  220","0.0","19.9","25.1","    1",,,,,,,,,,,"    1",,,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-21","7.16"," 1142"," 0256","0.00","0.0","0.0",,"65","48","  320","  290","0.0","16.1","23.9",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-22","13.42"," 1528"," 1530","0.00","0.0","0.0",,"76","47","  160","  170","0.0","31.1","36.9",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-23","7.38"," 0048"," 0116","0.12","0.0","0.0",,"63","51","  140","  160","0.0","21.9","25.1","    1",,,,"    1",,,"    1",,,,"    1",,,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-24","8.50"," 1127"," 1126","0.00","0.0","0.0",,"57","43","  350","  360","0.0","23.0","30.0",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-25","5.37"," 1332"," 1331","0.00","0.0","0.0",,"58","34","  340","  330","0.0","21.9","25.9",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-26","3.80"," 2359"," 2359","0.00","0.0","0.0",,"60","35","  130","  130","0.0","14.1","16.1",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-27","10.29"," 1342"," 1341","0.00","0.0","0.0",,"66","47","  180","  170","0.0","21.0","23.9",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-28","13.42"," 2243"," 2152","2.07","0.0","0.0",,"58","43","   90","  100","0.0","25.9","33.1","    1",,"    1",,"    1",,,,,,,"    1",,,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-29","12.08"," 1838"," 1837","0.71","0.0","0.0",,"43","30","  310","  310","0.0","25.9","36.0","    1",,,,"    1",,,,,,,"    1","    1",,"    1","    1",
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-30","11.41"," 0349"," 0348","0.00","0.0","0.0",,"32","27","  320","  330","0.0","23.0","30.0",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-01-31","3.13"," 0936"," 1433","0.00","0.0","0.0",,"39","30","  140","   50","0.0","8.9","14.1","    1",,,,,,,"    1",,,,"    1",,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-02-01","4.47"," 1205"," 1147","0.00","0.0","0.0",,"47","31","  180","  180","0.0","14.1","17.0","    1",,,,,,"    1","    1",,,,"    1",,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-02-02","5.59"," 1544"," 1014","0.00","0.0","0.0",,"52","40","  350","   10","0.0","13.0","19.9","    1",,,,,,"    1","    1",,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-02-03","8.95"," 2315"," 2315","0.08","0.0","0.0",,"46","38","  100","  100","0.0","21.0","23.9","    1",,,,"    1",,,"    1",,,,"    1",,,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-02-04","7.16"," 0155"," 0210","0.29","0.0","0.0",,"44","42","  100","  100","0.0","17.9","25.1","    1",,,,"    1",,,,,,,"    1","    1",,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-02-05","9.17"," 2247"," 2241","0.01","0.0","0.0",,"58","39","  360","  350","0.0","17.0","23.0","    1",,,,,,,,,,,"    1",,,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-02-06","7.61"," 1216"," 1249","0.00","0.0","0.0",,"45","35","  360","   30","0.0","14.1","23.0",,,,,,,,,,,,,,,,,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-02-07","6.49"," 1922"," 1921","0.05","0.0","0.0",,"44","39","  120","  120","0.0","16.1","17.9","    1",,,,"    1",,,,,,,"    1",,,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-02-08","10.96"," 2322"," 2332","0.96","0.0","0.0",,"43","39","  360","  350","0.0","21.0","29.1","    1",,,,"    1",,,,,,,"    1","    1",,"    1",,
"USW00013960","DALLAS FAA AIRPORT, TX US","2010-02-09","11.63"," 0209"," 0212","0.00","0.0","0.0",,"43","26","  350","   10","0.0","23.9","32.0",,,,,,,,,,,,,,,,,
