"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-01","8.50"," 2354"," 0233","0.00","0.0","0.0",,"56","38","  330","  330","0.0","21.9","25.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-02","3.80"," 1621"," 1619","0.00","0.0","0.0",,"56","31","  130","  120","0.0","13.0","15.0",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-03","4.92"," 0835"," 0919","0.00","0.0","0.0",,"49","37","   50","  100","0.0","12.1","14.1",,,,,,,,,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-04","10.51"," 1012"," 0939","0.00","0.0","0.0",,"48","34","   10","  350","0.0","21.0","25.1",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-05","2.68"," 0932"," 1156","0.00","0.0","0.0",,"50","28","   40","   90","0.0","8.9","17.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-06","6.93"," 1629"," 1619","0.00","0.0","0.0",,"54","29","  140","  130","0.0","17.9","23.0",,,,,"    1",,,"    1",,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-07","14.76"," 1315"," 1204","0.12","0.0","0.0",,"52","30","  360","  360","0.0","29.1","36.0","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-08","13.42"," 1159"," 1233","0.00","0.0","0.0",,"33","25","  360","  360","0.0","21.0","25.9",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-09","4.70"," 1612"," 1611","0.00","0.0","0.0",,"43","20","  360","  360","0.0","13.0","16.1",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-10","2.68"," 1856"," 0942","0.00","0.0","0.0",,"45","22","  140","  110","0.0","8.9","13.0",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-11","1.12"," 2152"," 1533","0.00","0.0","0.0",,"57","23","  200","  210","0.0","8.1","13.0",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-12","1.79"," 1403"," 1546","0.00","0.0","0.0",,"64","33","  340","  330","0.0","12.1","15.0","    1",,,,,,,,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-13","5.82"," 1651"," 1624","0.00","0.0","0.0",,"59","33","  120","  130","0.0","13.0","16.1","    1",,,,,,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-14","8.50"," 1658"," 1601","0.09","0.0","0.0",,"59","47","   90","  100","0.0","15.0","19.9","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-15","12.53"," 1650"," 1637","0.32","0.0","0.0",,"54","50","   30","   30","0.0","21.9","28.0","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-16","10.51"," 1418"," 1406","0.10","0.0","0.0",,"52","45","  320","  320","0.0","19.9","25.9","    1",,,,"    1",,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2010-01-17","4.03"," 1158"," 0035","0.00","0.0","0.0",,"64","41","  340","  290","0.0","12.1","15.0","    1",,,,,,,"    1",,,"    1",,,,,,
