"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT05","WT07","WT08","WT09","WT13","WT14","WT16","WT21"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-01","4.70"," 2252"," 2243","0.00",,,,"69","50","  310","  300","0.0","17.9","25.9",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-02","6.26"," 1158"," 1157","0.00",,,,"76","55","  280","  280","0.0","17.0","21.9",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-03","5.14"," 1008"," 1256","0.00",,,,"80","52","   40","  350","0.0","12.1","17.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-04","6.04"," 1358"," 1209","0.00",,,,"75","53","  270","  280","0.0","13.0","16.1",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-05","4.25"," 1427"," 1332","0.00",,,,"76","52","  270","  280","0.0","17.0","21.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-06","3.36"," 1436"," 1432","0.00",,,,"73","51","  270","  280","0.0","13.0","16.1",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-07","4.25"," 1441"," 1416","0.00",,,,"67","48","  270","  290","0.0","13.0","15.0","    1","    1",,,"    1","    1","    1","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-08","4.25"," 1518"," 2144","0.00",,,,"77","50","  260","  290","0.0","12.1","15.0","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-09","6.71"," 2316"," 0835","0.00",,,,"75","57","  290","   10","0.0","13.0","17.9",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-10","4.47"," 1309"," 1317","0.00",,,,"74","52","  270","  270","0.0","15.0","17.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-11","4.03"," 1339"," 1337","0.00",,,,"77","50","  260","  260","0.0","14.1","17.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-12","5.14"," 1648"," 1602","0.00",,,,"66","52","  270","  280","0.0","12.1","16.1","    1","    1",,,"    1","    1","    1","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-13","8.28"," 1620"," 2020","0.13",,,,"63","53","  260","  350","0.0","21.0","32.0","    1",,,"    1","    1","    1",,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-14","5.82"," 0325"," 0413","0.00",,,,"71","50","  340","  320","0.0","17.9","28.0","    1",,,,,"    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-15","3.80"," 1958"," 1957","0.00",,,,"73","50","  280","  280","0.0","10.1","15.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-16","3.80"," 1622"," 1627","0.00",,,,"68","53","  250","  260","0.0","14.1","16.1",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-17","4.70"," 2304"," 2306","0.26",,,,"63","52","  100","   90","0.0","13.0","15.0","    1",,,"    1",,,,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-18","11.63"," 1131"," 1057","0.75",,,,"62","53","  160","  160","0.0","28.0","38.0","    1",,,"    1",,"    1",,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-19","10.51"," 1632"," 1631","0.66",,,,"59","50","  270","  270","0.0","33.1","38.9","    1",,"    1","    1",,,,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-20","8.50"," 1112"," 1112","1.13",,,,"58","50","  160","  160","0.0","23.0","30.0","    1",,"    1","    1",,,,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-21","16.11"," 1440"," 1439","0.73",,,,"58","50","  250","  250","0.0","31.1","44.1","    1",,"    1","    1",,"    1",,"    1","    1","    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-22","7.61"," 0030"," 0029","0.48",,,,"54","47","  270","  270","0.0","25.1","31.1","    1",,,"    1",,,,,"    1","    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-23","5.82"," 1721"," 1950","0.00",,,,"58","43","  280","  290","0.0","13.0","17.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-24","5.82"," 1811"," 1736","0.00",,,,"60","44","  270","  280","0.0","16.1","19.9",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-25","5.37"," 1759"," 1759","0.00",,,,"64","44","  280","  280","0.0","21.9","25.1",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-26","5.37"," 1654"," 2251","0.16",,,,"58","47","   70","  360","0.0","17.0","25.1",,,,"    1",,,,,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-27","6.04"," 1615"," 1614","0.00",,,,"66","53","  260","  260","0.0","19.9","23.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-28","4.70"," 1410"," 1347","0.00",,,,"67","46","  240","  220","0.0","13.0","17.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-29","4.70"," 1625"," 1624","0.00",,,,"64","49","  260","  260","0.0","15.0","17.0",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-30","5.37"," 1535"," 1611","0.00",,,,"59","48","  260","  270","0.0","15.0","17.9","    1",,,,"    1","    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01-31","5.37"," 1651"," 1519","0.00",,,,"62","46","  270","  270","0.0","14.1","17.9","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-01","4.70"," 1327"," 1310","0.00",,,,"64","49","  250","  240","0.0","12.1","15.0","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-02","6.04"," 1759"," 1449","0.00",,,,"61","51","  270","  280","0.0","15.0","17.9","    1",,,,"    1","    1",,"    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-03","6.26"," 1515"," 1507","0.00",,,,"65","49","  240","  240","0.0","16.1","19.9","    1",,,,,"    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-04","7.38"," 1632"," 1332","0.00",,,,"63","53","  260","  200","0.0","14.1","19.9",,,,,"    1","    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-05","10.51"," 2007"," 1751","1.39",,,,"56","53","  100","  100","0.0","17.9","25.1","    1",,,"    1",,,,"    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02-06","10.74"," 1836"," 1444","0.92",,,,"59","52","  270","  270","0.0","21.0","23.9","    1",,,"    1",,,,"    1",,"    1",
